epoch,train_loss,valid_loss,acc_camvid,time
0,0.2041008174419403,0.1554894745349884,0.7541999816894531,00:14
1,0.1534074991941452,0.12062690407037735,0.798642635345459,00:14
2,0.12218859046697617,0.06195845454931259,0.923967719078064,00:12
3,0.09660209715366364,0.059264831244945526,0.9614487886428833,00:14
4,0.07887108623981476,0.035614512860774994,0.9498116374015808,00:15
5,0.06624910235404968,0.06727530062198639,0.9908991456031799,00:15
6,0.05857998877763748,0.03274387866258621,0.9708858132362366,00:15
7,0.051976438611745834,0.04157417640089989,0.9850242137908936,00:13
8,0.045890048146247864,0.03941082954406738,0.9879527688026428,00:13
9,0.044165827333927155,0.03087320365011692,0.9760677218437195,00:10
10,0.041153211146593094,0.035900089889764786,0.9775451421737671,00:10
11,0.03905339911580086,0.03148864582180977,0.9492287039756775,00:10
12,0.03729831054806709,0.030978411436080933,0.9457833766937256,00:11
13,0.035842541605234146,0.029241245239973068,0.9827854633331299,00:11
14,0.03383319824934006,0.027184870094060898,0.9842422604560852,00:11
15,0.031740207225084305,0.02600162848830223,0.9582629203796387,00:11
16,0.03068884089589119,0.02452658675611019,0.9685628414154053,00:10
17,0.030333466827869415,0.025829244405031204,0.9712311029434204,00:10
18,0.028927428647875786,0.025500893592834473,0.9623531103134155,00:10
19,0.02754947356879711,0.023400960490107536,0.9718835949897766,00:11
20,0.027923978865146637,0.025917645543813705,0.9742712378501892,00:11
21,0.027338707819581032,0.03038030117750168,0.9812198281288147,00:11
22,0.02633948065340519,0.024976711720228195,0.9697221517562866,00:11
23,0.02544569782912731,0.02587421052157879,0.976668655872345,00:10
24,0.024510810151696205,0.023187601938843727,0.9727911949157715,00:11
25,0.024233611300587654,0.02397303655743599,0.976372241973877,00:11
