epoch,train_loss,valid_loss,acc_camvid,time
0,0.34702903032302856,0.1759985387325287,0.8100854158401489,00:13
1,0.2297520637512207,0.10273478925228119,0.8755438327789307,00:13
2,0.17308466136455536,0.07612921297550201,0.9067896604537964,00:13
3,0.13876336812973022,0.061452899128198624,0.9444851875305176,00:13
4,0.1293310970067978,0.0649247020483017,0.9392984509468079,00:13
5,0.11146441102027893,0.0673331692814827,0.9384192824363708,00:12
6,0.09952378273010254,0.042227014899253845,0.9559691548347473,00:12
7,0.0889887660741806,0.057072948664426804,0.9864708185195923,00:12
8,0.08689416944980621,0.03587009757757187,0.9593841433525085,00:12
9,0.07453200221061707,0.03744792565703392,0.968228280544281,00:13
10,0.08259881287813187,0.07331255823373795,0.9493268132209778,00:13
11,0.08146064728498459,0.039481427520513535,0.9323948621749878,00:13
12,0.10497935861349106,0.07374239712953568,0.9946768283843994,00:14
13,0.09093733131885529,0.041205670684576035,0.9899864792823792,00:13
14,0.10754470527172089,0.034582316875457764,0.9643189311027527,00:14
15,0.08446777611970901,0.04843424633145332,0.9895495772361755,00:12
16,0.0709291398525238,0.027074581012129784,0.9731640815734863,00:12
17,0.07384604960680008,0.10274620354175568,0.992716372013092,00:13
18,0.07708215713500977,0.03495435044169426,0.9709883332252502,00:12
19,0.072751984000206,0.04582107067108154,0.9391847848892212,00:12
20,0.06800422072410583,0.04941220581531525,0.9893487095832825,00:13
21,0.08027108758687973,0.030562642961740494,0.971771240234375,00:10
22,0.08812607079744339,0.03698714077472687,0.9885373115539551,00:10
23,0.07379106432199478,0.027055639773607254,0.9694989323616028,00:11
24,0.06260298937559128,0.025473633781075478,0.9652814269065857,00:09
25,0.06261890381574631,0.027030719444155693,0.9709144830703735,00:09
26,0.07082891464233398,0.02391120418906212,0.973563015460968,00:12
27,0.059084054082632065,0.02475699968636036,0.9777469038963318,00:10
28,0.06117361783981323,0.0307762548327446,0.9769662618637085,00:10
29,0.08086790144443512,0.08043403178453445,0.9823697805404663,00:10
30,0.0787554457783699,0.025870105251669884,0.9768285155296326,00:11
31,0.07164378464221954,0.03184329345822334,0.9766013026237488,00:12
32,0.07171982526779175,0.02416945807635784,0.9731271862983704,00:11
