"image_id","left_wing (mm)","right_wing (mm)","left_wing_center (mm)","right_wing_center (mm)","wing_span (mm)","wing_shoulder (mm)","image_path","view","specimen_id","stage","segmenter","pixels_per_mm","status","error"
"IMG_1502.JPG",42.24,42.72,53.03,52.55,74.08,4.92,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1502.JPG","dorsal","1145780","measurements","unet",30.711111111111112,"ok",""
"IMG_1503.JPG",39.7,39.5,47.26,47.04,70.17,4.78,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1503.JPG","ventral","1145780","measurements","unet",30.711111111111112,"ok",""
"IMG_1504.JPG",38.82,39.46,47.18,46.7,68.13,2.51,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1504.JPG","dorsal","1145781","measurements","unet",30.711111111111112,"ok",""
"IMG_1505.JPG",38.06,37.0,45.17,45.16,65.48,1.95,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1505.JPG","ventral","1145781","measurements","unet",30.711111111111112,"ok",""
"IMG_1506.JPG",35.93,36.91,44.06,43.65,60.74,1.7,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1506.JPG","dorsal","1145782","measurements","unet",31.056179775280903,"ok",""
"IMG_1507.JPG",35.85,35.54,42.85,42.27,60.78,0.94,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1507.JPG","ventral","1145782","measurements","unet",30.711111111111112,"invalid","shoulder width too small: 0.94"
"IMG_1508.JPG",40.62,38.3,48.34,47.74,72.24,3.28,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1508.JPG","dorsal","1145783","measurements","unet",31.056179775280903,"ok",""
"IMG_1509.JPG",40.45,38.94,46.86,46.2,71.68,2.07,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1509.JPG","ventral","1145783","measurements","unet",30.711111111111112,"ok",""
"IMG_1510.JPG",40.16,38.23,46.88,46.13,70.59,2.16,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1510.JPG","dorsal","1145784","measurements","unet",31.056179775280903,"ok",""
"IMG_1511.JPG",36.43,37.79,45.81,45.2,69.65,5.06,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1511.JPG","ventral","1145784","measurements","unet",30.711111111111112,"ok",""
"IMG_1512.JPG",41.13,40.72,49.74,48.88,72.95,3.46,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1512.JPG","dorsal","1145785","measurements","unet",30.943820224719104,"ok",""
"IMG_1513.JPG",41.78,39.74,49.07,48.17,71.94,1.49,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1513.JPG","ventral","1145785","measurements","unet",30.95505617977528,"ok",""
"IMG_1514.JPG",52.97,50.31,60.01,59.36,92.24,3.05,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1514.JPG","dorsal","1145786","measurements","unet",30.96629213483146,"ok",""
"IMG_1515.JPG",51.13,53.01,60.32,60.02,92.87,2.38,"/home/rahul/workspace/data/UF_museum_data_2023/Battus philenor/Kailee Stover/20230424/IMG_1515.JPG","ventral","1145786","measurements","unet",30.95505617977528,"ok",""
