image_id,left_wing (mm),right_wing (mm),left_wing_center (mm),right_wing_center (mm),wing_span (mm),wing_shoulder (mm),position,gender,prob_upside_down,prob_female,prob_male
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230712/IMG_0128.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2432.JPG,2.54,0.98,51.1,51.6,100.69,100.51,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230616/IMG_4971.JPG,47.25,46.73,55.77,55.38,76.68,0.13,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230619/IMG_5070.JPG,52.34,52.38,61.44,62.41,85.2,0.03,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2427.JPG,0.29,0.93,50.18,51.02,100.88,100.84,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230717/IMG_0206.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230711/IMG_5686.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230717/IMG_0296.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230424/IMG_2240.JPG,2.74,4.4,52.92,54.25,100.73,100.6,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2442.JPG,0.03,21.71,27.82,31.11,53.35,32.93,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2457.JPG,0.03,5.05,49.43,48.87,97.4,96.75,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230711/IMG_5685.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230526/IMG_0190.JPG,1.15,1.88,52.69,53.8,103.64,103.58,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2454.JPG,0.52,1.42,54.44,53.86,107.1,107.05,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230418/IMG_1971.JPG,0.03,16.53,27.84,37.55,16.59,0.05,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230712/IMG_0102.JPG,6.21,19.36,23.5,28.89,46.63,23.27,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230526/IMG_0191.JPG,1.38,1.92,51.27,52.17,100.69,100.63,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230424/IMG_2232.JPG,0.91,1.5,53.84,53.68,106.58,106.55,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230425/IMG_2323.JPG,57.47,54.94,62.51,61.66,106.52,6.32,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230705/IMG_0122.JPG,22.16,34.12,39.37,44.43,83.34,36.1,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0141.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230705/IMG_5405.JPG,48.62,47.23,54.74,53.9,83.58,0.74,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230711/IMG_5698.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230425/IMG_2283.JPG,7.29,7.13,8.42,8.34,13.97,0.88,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230501/IMG_1681.JPG,0.03,0.2,40.29,39.81,79.56,79.53,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230518/IMG_2337.JPG,44.94,44.43,51.42,52.14,76.13,0.21,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230418/IMG_1963.JPG,0.03,19.19,27.74,39.26,19.23,0.03,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230515/IMG_3555.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0140.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230508/IMG_2887.JPG,48.66,49.51,53.89,54.93,88.39,0.44,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230526/IMG_3976.JPG,35.27,0.45,29.22,28.76,52.66,50.56,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230417/IMG_1880.JPG,53.27,50.99,60.26,58.74,102.39,4.96,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230616/IMG_0303.JPG,32.83,32.75,45.51,43.71,66.14,10.62,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230628/IMG_0034.JPG,41.37,40.0,52.55,52.06,84.91,11.18,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230619/IMG_5068.JPG,53.26,53.46,60.07,61.0,102.15,5.45,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230706/IMG_5470.JPG,49.46,49.08,54.96,55.32,101.88,5.79,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230424/IMG_2228.JPG,3.03,1.9,50.64,49.97,96.58,96.54,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230410/IMG_1525.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230526/IMG_4002.JPG,8.04,7.42,38.51,38.05,66.56,66.52,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230613/IMG_4859.JPG,13.52,20.4,36.72,28.08,62.43,31.26,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230508/IMG_1971.JPG,44.75,44.36,52.34,52.21,80.14,0.95,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230713/IMG_5718.JPG,0.03,0.12,53.85,53.9,105.99,105.97,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2421.JPG,1.11,1.21,49.01,49.07,97.54,97.51,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230609/IMG_4625.JPG,50.34,49.49,55.68,55.85,86.66,0.33,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230426/IMG_2376.JPG,2.05,1.11,52.07,53.27,102.87,102.86,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230609/IMG_0147.JPG,52.99,52.44,60.68,59.69,101.13,5.08,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230623/IMG_0012.JPG,46.24,45.47,54.36,54.04,71.52,0.93,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230525/IMG_3941.JPG,36.97,36.14,41.34,41.17,63.26,0.34,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230628/IMG_0003.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230426/IMG_2415.JPG,2.6,1.69,48.97,48.89,94.46,94.41,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230525/IMG_3942.JPG,36.67,36.59,42.53,42.7,63.4,0.1,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230424/IMG_2235.JPG,1.82,1.24,54.33,53.68,105.87,105.83,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230418/IMG_1969.JPG,0.03,17.52,27.32,37.9,17.57,0.05,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230714/IMG_5818.JPG,42.56,41.99,49.66,48.42,74.74,0.45,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230719/IMG_0095.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230501/IMG_1719.JPG,44.23,44.52,52.47,52.63,73.64,0.92,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230623/IMG_0031.JPG,34.92,34.18,40.01,40.33,55.19,0.03,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230501/IMG_2575.JPG,42.0,43.81,46.46,48.01,69.46,0.48,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230710/IMG_0072.JPG,43.37,43.55,49.29,49.52,74.39,0.03,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230719/IMG_0075.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230508/IMG_2980.JPG,6.33,6.17,7.42,7.34,11.56,0.72,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230619/IMG_5062.JPG,46.87,49.67,52.3,55.27,81.08,0.64,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2436.JPG,1.03,2.22,52.15,52.47,101.7,101.63,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230501/IMG_1699.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0143.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230609/IMG_0110.JPG,0.77,0.83,55.3,55.08,110.17,110.14,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230707/IMG_0019.JPG,42.98,43.04,49.6,50.29,74.26,0.9,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230619/IMG_5040.JPG,49.75,49.31,56.26,56.33,103.23,6.8,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2441.JPG,44.96,45.18,49.0,48.79,85.47,0.52,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230501/IMG_2572.JPG,60.34,16.09,30.25,40.0,69.11,0.28,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2433.JPG,0.91,2.08,50.27,50.8,98.93,98.78,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230710/IMG_0096.JPG,43.73,44.25,50.16,50.59,75.99,0.81,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0193.JPG,49.41,49.81,57.77,57.59,100.8,7.5,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0162.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230616/IMG_0239.JPG,47.89,47.75,55.73,55.51,79.78,0.03,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230619/IMG_5041.JPG,49.05,49.28,55.84,55.94,102.73,6.91,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230526/IMG_4006.JPG,29.39,0.97,24.15,29.56,46.52,46.06,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2471.JPG,1.87,0.64,54.55,53.9,107.42,107.35,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230424/IMG_2230.JPG,1.14,0.91,50.03,49.67,99.02,98.99,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230526/IMG_0207.JPG,0.03,1.45,52.44,53.31,105.6,105.47,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230705/IMG_5415.JPG,7.31,7.44,8.71,8.69,13.15,0.82,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0189.JPG,48.99,48.32,53.16,52.6,100.45,4.74,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230518/IMG_2333.JPG,0.03,0.13,50.13,52.83,100.27,100.25,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230717/IMG_0297.JPG,11.01,10.86,13.19,13.16,19.92,1.42,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230621/IMG_5162.JPG,20.1,0.67,29.42,27.3,50.03,30.66,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230508/IMG_2079.JPG,0.55,0.87,44.45,43.4,87.59,87.57,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230526/IMG_0185.JPG,5.1,5.12,6.24,6.27,9.43,0.7,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230710/IMG_0120.JPG,58.33,17.81,29.21,39.64,67.34,0.16,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230526/IMG_0194.JPG,1.03,1.0,55.97,55.82,111.22,111.18,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230724/IMG_0161.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230410/IMG_1521.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230710/IMG_0121.JPG,17.81,57.34,38.85,28.67,65.93,0.04,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230705/IMG_0124.JPG,46.8,46.69,53.81,53.97,75.12,0.11,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230501/IMG_1604.JPG,36.22,36.96,42.27,43.23,61.7,0.03,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230505/IMG_1813.JPG,6.17,6.21,7.5,7.38,10.91,0.66,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230707/IMG_0020.JPG,42.36,42.45,48.77,48.68,73.43,0.72,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230710/IMG_0031.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230719/IMG_0120.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230530/IMG_4074.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230719/IMG_0133.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230518/IMG_2314.JPG,39.81,39.77,45.92,45.81,68.2,0.5,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230710/IMG_0125.JPG,55.48,19.38,27.86,39.11,65.16,0.42,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230425/IMG_2282.JPG,7.44,7.44,8.69,8.76,14.31,0.92,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230508/IMG_2084.JPG,7.63,7.12,24.29,24.52,37.67,33.45,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230508/IMG_2915.JPG,55.05,55.16,63.38,63.25,105.54,5.27,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230501/IMG_1680.JPG,0.03,0.17,40.25,40.6,80.39,80.36,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230623/IMG_0065.JPG,43.56,46.37,53.34,53.53,97.06,10.42,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230623/IMG_5225.JPG,48.02,47.85,53.54,53.54,101.16,5.71,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230712/IMG_0129.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230719/IMG_0081.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230526/IMG_3975.JPG,0.32,38.75,29.07,30.99,52.94,51.79,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230510/IMG_2240.JPG,2.25,3.26,40.25,40.68,74.15,74.09,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230526/IMG_0197.JPG,2.32,2.13,51.74,51.41,99.34,99.3,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2466.JPG,3.55,2.61,50.01,50.72,97.76,97.7,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230717/IMG_0207.JPG,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Kailee Stover/20230410/IMG_1235.JPG,5.63,5.09,35.77,35.8,48.03,46.97,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230510/IMG_3247.JPG,0.95,27.23,41.15,36.13,76.83,49.44,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230424/IMG_2237.JPG,0.16,3.71,53.17,52.79,102.88,102.8,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230524/IMG_3821.JPG,48.67,49.38,53.96,54.5,101.45,5.61,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Kailee Stover/20230628/IMG_0071.JPG,20.37,26.27,37.6,26.51,63.86,26.06,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230505/IMG_2880.JPG,51.29,51.37,56.46,57.88,103.9,6.23,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230427/IMG_2469.JPG,3.13,2.21,54.39,54.22,103.97,103.94,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230713/IMG_5720.JPG,0.03,0.22,54.04,53.61,106.44,106.4,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus philenor/Marcela Diaz/20230510/IMG_3222.JPG,31.77,1.38,40.63,45.69,85.65,53.44,N/A,N/A,N,/,A
/project/samc/battus_compvis/UFLMH_data/UFLMH_data2023/UF_museum_data_2023/Battus polydamas/Marcela Diaz/20230613/IMG_4860.JPG,9.34,32.92,31.45,29.09,60.36,23.36,N/A,N/A,N,/,A
